time,open,close,price,volume,dayHigh,dayLow,SMA_5,SMA_10,RSI,MACD,Signal_Line,MACD_Histogram,vd_positive_mean,vd_negative_mean,vd_neutral_mean,vd_compound_mean,vd_positive_med,vd_negative_med,vd_neutral_med,vd_compound_med
2025-01-14,94386.11,96640.86,95821.49041666667,1663737133441.8743,97451.0,89005.8,95606.83733333333,95203.60545833333,71.78325503636074,632.3597928715317,665.5739878134692,-33.214194941937535,0.10832701421800947,0.021597156398104268,0.870132701421801,0.2147691943127962,0.097,0.0,0.816,0.0258
2025-01-15,96636.78,99687.75,98034.71833333334,1277023330726.508,100731.7,94330.82,97771.35841666667,97450.45649999999,63.782236285038266,926.9170714777864,834.078552816512,92.83851866127452,0.10308333333333333,0.043188405797101447,0.8538007246376812,0.1272699275362319,0.0835,0.0,0.816,0.0
2025-01-16,100470.42,99892.36,99547.75666666667,1326875282132.31,100880.0,96400.0,99525.05591666668,99495.156875,51.85144564397149,326.65221919104806,305.61112075685867,21.041098434189397,0.10352427184466019,0.03295792880258899,0.8634983818770228,0.14432718446601941,0.0,0.0,0.909,0.0
2025-01-17,100174.96,104430.0,102747.06458333333,1425425670052.0908,105970.0,97277.58,102361.55,101850.81895833333,71.73077895976122,1178.7198190048657,1130.1720473345094,48.54777167035627,0.057474789915966384,0.0218781512605042,0.920655462184874,0.12211890756302521,0.0,0.0,1.0,0.0
2025-01-18,104363.29,104437.34,103765.37583333334,1519151649228.4746,105970.0,99981.27,103799.67633333332,103867.39833333333,48.05895392279817,287.7260422800464,276.12492722224863,11.601115057797756,0.07609782608695652,0.010014492753623188,0.9138876811594203,0.21654420289855073,0.0,0.0,1.0,0.0
2025-01-19,104309.12,101393.76,104589.20166666666,1216960404691.0486,106370.0,100999.0,104673.29708333332,104587.674,55.04160763770983,-112.3172812515404,190.61392404463885,-302.93120529617926,0.07076845637583894,0.030852348993288592,0.8983791946308725,0.14318993288590603,0.0,0.0,1.0,0.0
2025-01-20,101106.19,103194.2,104617.97333333333,2576725577901.583,109590.0,99416.27,104624.67275000001,104723.29579166666,48.26803344656168,-319.444709630232,145.5244507831217,-464.9691604133536,0.100140625,0.06378125,0.836078125,0.1021,0.0,0.0,0.856,0.0
2025-01-21,101920.0,105945.91,103798.54458333332,2650550602253.393,109590.0,99475.21,103535.07416666666,103305.76458333334,50.82259831906561,759.3498946643813,428.27127032492353,331.07862433945775,0.12266666666666667,0.011087431693989071,0.8662459016393442,0.23156448087431694,0.152,0.0,0.848,0.1779
2025-01-22,106017.0,103802.65,104945.36666666665,1825461985315.0852,107360.0,100051.0,105135.68916666666,105328.06554166666,43.95621198812958,-257.5989299010689,-127.45798277114388,-130.14094712992502,0.14475376884422111,0.036718592964824125,0.8185226130653266,0.2846939698492462,0.106,0.0,0.877,0.2263
2025-01-23,103720.0,104284.03,103115.69791666667,1590316459347.7988,107000.0,101200.01,103137.88691666666,103106.12779166666,43.54252361283083,146.04926528522628,-4.262295632617331,150.31156091784362,0.10553107344632767,0.025096045197740113,0.8693559322033898,0.23718926553672318,0.106,0.0,0.894,0.2714
